name,rating,num_of_ratings,price,size,resolution,refresh_rate
"SAMSUNG UE57 Series 28-Inch 4K UHD (3840x2160) Computer Monitor, HDMI, Display Port, Eye Saver Mode, VESA Compatible, FreeSync (LU28E570DS/ZA)",4.5 out of 5 stars,"1,421","399,.",28 inches,4K UHD 2160p,60 hertz
,,,"399,.",,,
,,,,28 inches,4K UHD 2160p,60 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"LG 22MK430H-B 21.5-Inch Full HD Monitor with AMD FreeSync, Black",4.6 out of 5 stars,"1,428","116,.",21.5 inches,FHD 1080p,75 hertz
,,,,,,
"LG 22MK430H-B 21.5-Inch Full HD Monitor with AMD FreeSync, Black",4.6 out of 5 stars,"1,428","116,.",21.5 inches,FHD 1080p,75 hertz
,,,"116,.",,,
,,,,21.5 inches,FHD 1080p,75 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Sceptre 27-Inch FHD LED Gaming Monitor 75Hz 2X HDMI VGA Build-in Speakers, Ultra Slim Metal Black",4.5 out of 5 stars,"5,964","146,.",27 inches,FHD 1080p,75 hertz
,,,,,,
"Sceptre 27-Inch FHD LED Gaming Monitor 75Hz 2X HDMI VGA Build-in Speakers, Ultra Slim Metal Black",4.5 out of 5 stars,"5,964","146,.",27 inches,FHD 1080p,75 hertz
,,,"146,.",,,
,,,,27 inches,FHD 1080p,75 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"SAMSUNG 34-Inch SJ55W Ultrawide Gaming Monitor (LS34J550WQNXZA) – 75Hz Refresh, WQHD Computer Monitor, 3440 x 1440p Resolution, 4ms Response, FreeSync, Split Screen, HDMI, Black",4.4 out of 5 stars,"1,690","299,.",34 inches,QHD Ultra Wide 1440p,75 hertz
,,,,,,
"SAMSUNG 34-Inch SJ55W Ultrawide Gaming Monitor (LS34J550WQNXZA) – 75Hz Refresh, WQHD Computer Monitor, 3440 x 1440p Resolution, 4ms Response, FreeSync, Split Screen, HDMI, Black",4.4 out of 5 stars,"1,690","299,.",34 inches,QHD Ultra Wide 1440p,75 hertz
,,,"299,.",,,
,,,,34 inches,QHD Ultra Wide 1440p,75 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"SAMSUNG TU872 Series 32-Inch 4K UHD (3840x2160) Computer Monitor, Thunderbolt 3 Daisy Chain, HDMI, Display Port, Height Adjustable Stand, 3 Yr WRNTY (LF32TU872VNXGO)",3.9 out of 5 stars,112,"749,.",32 inches,4K UHD 2160p,60 hertz
,,,,,,
"SAMSUNG TU872 Series 32-Inch 4K UHD (3840x2160) Computer Monitor, Thunderbolt 3 Daisy Chain, HDMI, Display Port, Height Adjustable Stand, 3 Yr WRNTY (LF32TU872VNXGO)",3.9 out of 5 stars,112,"749,.",32 inches,4K UHD 2160p,60 hertz
,,,"749,.",,,
,,,,32 inches,4K UHD 2160p,60 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"KOORUI 24 inch Computer Monitor, IPS FHD 1080p LED Desktop Monitor, 75Hz Ultra-Thin Bezel/Eye Care/HDMI VGA Ports Business Monitor for PC, Black",4.7 out of 5 stars,69,"135,.",23.8 inches,FHD 1080p,75 hertz
,,,,,,
"KOORUI 24 inch Computer Monitor, IPS FHD 1080p LED Desktop Monitor, 75Hz Ultra-Thin Bezel/Eye Care/HDMI VGA Ports Business Monitor for PC, Black",4.7 out of 5 stars,69,"135,.",23.8 inches,FHD 1080p,75 hertz
,,,"135,.",,,
,,,,23.8 inches,FHD 1080p,75 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"HP Pavilion 22cwa 21.5-Inch Full HD 1080p IPS LED Monitor, Tilt, VGA and HDMI (T4Q59AA) - Black",4.6 out of 5 stars,"13,602","134,.",21.5 inches,FHD 1080p,60 hertz
,,,,,,
"HP Pavilion 22cwa 21.5-Inch Full HD 1080p IPS LED Monitor, Tilt, VGA and HDMI (T4Q59AA) - Black",4.6 out of 5 stars,"13,602","134,.",21.5 inches,FHD 1080p,60 hertz
,,,"134,.",,,
,,,,21.5 inches,FHD 1080p,60 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"SAMSUNG FT45 Series 24-Inch FHD 1080p Computer Monitor, 75Hz, IPS Panel, HDMI, USB Hub, Height Adjustable Stand, 3 Yr WRNTY (LF24T452FQNXGO)",4.6 out of 5 stars,"1,095","209,.",24 inches,FHD 1080p,75 hertz
,,,,,,
"SAMSUNG FT45 Series 24-Inch FHD 1080p Computer Monitor, 75Hz, IPS Panel, HDMI, USB Hub, Height Adjustable Stand, 3 Yr WRNTY (LF24T452FQNXGO)",4.6 out of 5 stars,"1,095","209,.",24 inches,FHD 1080p,75 hertz
,,,"209,.",,,
,,,,24 inches,FHD 1080p,75 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Sceptre IPS 24-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, Machine Black (E248W-FPT)",4.6 out of 5 stars,"3,548","129,.",24 inches,FHD 1080p,75 hertz
,,,,,,
"Sceptre IPS 24-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, Machine Black (E248W-FPT)",4.6 out of 5 stars,"3,548","129,.",24 inches,FHD 1080p,75 hertz
,,,"129,.",,,
,,,,24 inches,FHD 1080p,75 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Philips 271E1S 27"" Frameless Monitor, Full HD IPS 1080P, 124% sRGB, FreeSync 75Hz, VESA, 4Yr Advance Replacement",4.6 out of 5 stars,"11,492","219,.",27 inches,FHD 1080p,75 hertz
,,,,,,
